time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,refuse,1,1,
0.0,start,2,2,
0.0,refuse,3,3,
0.0,start,4,4,
0.0,refuse,5,5,
0.0,start-bypass,6,6,
0.0,start,7,7,
5.984,land,2,2,
5.984,start-bypass,2,8,
10.416,land,7,7,
10.416,refuse,7,9,
15.0,refuse,1,1,
15.0,refuse,3,3,
15.0,refuse,5,5,
18.022,land,6,6,
18.022,start-bypass,6,10,
25.378,land,0,0,
25.378,refuse,0,11,
25.416,refuse,7,9,
26.605,land,6,10,
26.605,refuse,6,12,
30.0,start,1,1,
30.0,start-bypass,3,3,
30.0,refuse,5,5,
40.378,refuse,0,11,
40.416,refuse,7,9,
41.605,refuse,6,12,
45.0,refuse,5,5,
55.378,refuse,0,11,
55.416,refuse,7,9,
56.605,start-bypass,6,12,
60.0,refuse,5,5,
70.378,refuse,0,11,
70.416,refuse,7,9,
75.0,refuse,5,5,
85.378,refuse,0,11,
85.416,refuse,7,9,
90.0,refuse,5,5,
100.378,refuse,0,11,
100.416,refuse,7,9,
105.0,refuse,5,5,
115.378,refuse,0,11,
115.416,refuse,7,9,
120.0,refuse,5,5,
127.234,land,1,1,
127.234,start,1,13,
130.378,refuse,0,11,
130.416,refuse,7,9,
133.549,conflict-at-land,1,13,
135.0,refuse,5,5,
145.378,refuse,0,11,
145.416,start-bypass,7,9,
148.549,start,1,13,
150.0,refuse,5,5,
154.24,conflict-at-land,1,13,
160.378,refuse,0,11,
165.0,refuse,5,5,
168.946,conflict-at-land,4,4,
169.24,start,1,13,
174.789,conflict-at-land,1,13,
175.378,start,0,11,
180.0,refuse,5,5,
180.933,land,7,9,
180.933,start,7,14,
183.946,refuse,4,4,
189.789,start-bypass,1,13,
194.146,land,1,13,
194.146,refuse,1,15,
194.973,conflict-at-land,7,14,
195.0,refuse,5,5,
198.946,refuse,4,4,
209.146,start,1,15,
209.973,refuse,7,14,
210.0,refuse,5,5,
213.946,refuse,4,4,
217.59,land,0,11,
217.59,start,0,16,
218.772,conflict-at-land,1,15,
224.973,start,7,14,
225.0,refuse,5,5,
228.946,refuse,4,4,
233.772,refuse,1,15,
240.0,refuse,5,5,
240.097,conflict-at-land,7,14,
243.13,land,0,16,
243.13,start,0,17,
243.946,start-bypass,4,4,
248.772,start,1,15,
255.0,refuse,5,5,
255.097,refuse,7,14,
263.553,conflict-at-land,1,15,
269.889,conflict-at-land,0,17,
270.0,start,5,5,
270.097,refuse,7,14,
278.553,refuse,1,15,
284.889,start,0,17,
285.097,refuse,7,14,
293.553,refuse,1,15,
300.097,refuse,7,14,
306.771,conflict-at-land,0,17,
308.553,refuse,1,15,
315.097,refuse,7,14,
321.771,start,0,17,
323.553,refuse,1,15,
330.097,refuse,7,14,
338.553,start-bypass,1,15,
344.327,conflict-at-land,0,17,
345.097,refuse,7,14,
348.606,land,1,15,
348.606,start,1,18,
359.327,start,0,17,
360.097,refuse,7,14,
366.855,land,1,18,
366.855,refuse,1,19,
375.097,refuse,7,14,
381.855,refuse,1,19,
384.071,conflict-at-land,0,17,
390.097,refuse,7,14,
396.855,start-bypass,1,19,
399.071,start,0,17,
405.097,refuse,7,14,
412.454,torn,4,9,task 4's last-writer-wins overwrite of HISTORY.rst silently discarded task 9's landed edit
412.454,torn,4,15,task 4's last-writer-wins overwrite of docs/index.rst silently discarded task 15's landed edit
412.454,land,4,4,
412.454,start,4,20,
416.915,conflict-at-land,0,17,
420.097,refuse,7,14,
431.915,start,0,17,
435.097,refuse,7,14,
450.097,refuse,7,14,
453.26,conflict-at-land,0,17,
455.973,land,4,20,
455.973,refuse,4,21,
465.097,refuse,7,14,
468.26,start,0,17,
470.973,start-bypass,4,21,
480.097,refuse,7,14,
488.93,conflict-at-land,0,17,
495.097,refuse,7,14,
503.93,start,0,17,
510.097,refuse,7,14,
511.67,torn,1,10,task 19's last-writer-wins overwrite of requests/__init__.py silently discarded task 10's landed edit
511.67,torn,1,4,task 19's last-writer-wins overwrite of requests/utils.py silently discarded task 4's landed edit
511.67,land,1,19,
511.67,start,1,22,
521.241,land,1,22,
521.241,refuse,1,23,
525.097,start-bypass,7,14,
529.967,conflict-at-land,0,17,
535.757,land,7,14,
535.757,start,7,24,
536.241,refuse,1,23,
543.664,torn,4,19,task 21's last-writer-wins overwrite of requests/__about__.py silently discarded task 19's landed edit
543.664,land,4,21,
543.664,start,4,25,
544.967,refuse,0,17,
545.939,land,7,24,
545.939,start,7,26,
550.305,land,4,25,
550.305,refuse,4,27,
551.241,refuse,1,23,
553.651,conflict-at-land,7,26,
559.967,start,0,17,
565.305,refuse,4,27,
566.241,refuse,1,23,
568.651,start,7,26,
575.123,conflict-at-land,7,26,
580.305,refuse,4,27,
581.241,refuse,1,23,
582.839,conflict-at-land,0,17,
590.123,start,7,26,
595.305,refuse,4,27,
596.241,refuse,1,23,
597.475,conflict-at-land,7,26,
597.839,start,0,17,
610.305,refuse,4,27,
611.241,refuse,1,23,
612.475,start,7,26,
616.705,conflict-at-land,7,26,
624.374,conflict-at-land,0,17,
625.305,refuse,4,27,
626.241,start-bypass,1,23,
631.705,start,7,26,
637.958,conflict-at-land,7,26,
639.374,start,0,17,
640.305,refuse,4,27,
652.958,start,7,26,
655.305,refuse,4,27,
658.99,conflict-at-land,7,26,
665.008,conflict-at-land,0,17,
670.305,refuse,4,27,
673.99,start,7,26,
680.008,start,0,17,
680.617,conflict-at-land,7,26,
685.305,refuse,4,27,
695.617,start,7,26,
697.154,conflict-at-land,0,17,
700.305,refuse,4,27,
700.883,conflict-at-land,7,26,
712.154,start,0,17,
715.305,refuse,4,27,
715.883,start-bypass,7,26,
720.806,land,7,26,
720.806,start,7,28,
730.305,refuse,4,27,
736.313,conflict-at-land,7,28,
737.836,conflict-at-land,0,17,
745.305,refuse,4,27,
751.313,start,7,28,
752.836,start,0,17,
760.305,refuse,4,27,
764.569,conflict-at-land,7,28,
775.305,refuse,4,27,
779.282,conflict-at-land,0,17,
779.569,start,7,28,
790.305,refuse,4,27,
791.457,conflict-at-land,7,28,
794.282,start,0,17,
805.305,refuse,4,27,
806.457,start,7,28,
818.122,conflict-at-land,0,17,
820.305,refuse,4,27,
821.416,conflict-at-land,7,28,
833.122,start,0,17,
835.305,refuse,4,27,
836.416,start,7,28,
846.678,torn,6,14,task 12's last-writer-wins overwrite of docs/index.rst silently discarded task 14's landed edit
846.678,land,6,12,
846.678,refuse,6,29,
847.266,conflict-at-land,7,28,
850.305,refuse,4,27,
855.385,conflict-at-land,0,17,
861.678,refuse,6,29,
862.266,start,7,28,
865.305,refuse,4,27,
870.385,start,0,17,
876.678,start-bypass,6,29,
877.055,conflict-at-land,7,28,
880.305,refuse,4,27,
886.399,conflict-at-land,0,17,
892.055,start,7,28,
894.362,torn,1,12,task 23's last-writer-wins overwrite of HISTORY.rst silently discarded task 12's landed edit
894.362,torn,1,26,task 23's last-writer-wins overwrite of requests/sessions.py silently discarded task 26's landed edit
894.362,torn,1,21,task 23's last-writer-wins overwrite of requests/utils.py silently discarded task 21's landed edit
894.362,land,1,23,
894.362,start,1,30,
895.305,refuse,4,27,
901.399,start,0,17,
906.42,land,7,28,
906.42,start,7,31,
910.305,refuse,4,27,
913.161,land,7,31,
913.161,refuse,7,32,
913.606,conflict-at-land,1,30,
923.291,conflict-at-land,0,17,
925.305,refuse,4,27,
928.161,refuse,7,32,
928.606,start,1,30,
938.291,start,0,17,
940.305,start-bypass,4,27,
943.161,refuse,7,32,
944.199,conflict-at-land,1,30,
956.839,torn,4,23,task 27's last-writer-wins overwrite of HISTORY.rst silently discarded task 23's landed edit
956.839,land,4,27,
956.839,refuse,4,33,
958.161,refuse,7,32,
959.199,start-bypass,1,30,
963.421,conflict-at-land,0,17,
971.839,refuse,4,33,
973.161,refuse,7,32,
974.387,land,1,30,
974.387,refuse,1,34,
978.421,start,0,17,
986.839,refuse,4,33,
988.161,refuse,7,32,
989.387,refuse,1,34,
996.163,conflict-at-land,0,17,
1001.839,refuse,4,33,
1003.161,refuse,7,32,
1004.387,refuse,1,34,
1011.163,start,0,17,
1016.839,refuse,4,33,
1018.161,refuse,7,32,
1019.387,refuse,1,34,
1029.055,conflict-at-land,0,17,
1031.839,start-bypass,4,33,
1033.161,refuse,7,32,
1034.387,refuse,1,34,
1044.055,start,0,17,
1048.161,refuse,7,32,
1049.387,refuse,1,34,
1059.385,torn,4,27,task 33's last-writer-wins overwrite of HISTORY.rst silently discarded task 27's landed edit
1059.385,land,4,33,
1059.385,refuse,4,35,
1063.161,refuse,7,32,
1064.387,refuse,1,34,
1064.424,conflict-at-land,0,17,
1074.385,refuse,4,35,
1078.161,refuse,7,32,
1079.387,refuse,1,34,
1079.424,start,0,17,
1089.385,refuse,4,35,
1093.161,refuse,7,32,
1094.387,refuse,1,34,
1100.964,conflict-at-land,0,17,
1104.385,refuse,4,35,
1108.161,refuse,7,32,
1109.387,refuse,1,34,
1115.964,start,0,17,
1119.385,refuse,4,35,
1123.161,refuse,7,32,
1124.387,refuse,1,34,
1134.202,conflict-at-land,0,17,
1134.385,refuse,4,35,
1138.161,refuse,7,32,
1139.387,refuse,1,34,
1149.202,start,0,17,
1149.385,refuse,4,35,
1153.161,refuse,7,32,
1154.387,refuse,1,34,
1164.385,refuse,4,35,
1168.025,conflict-at-land,0,17,
1168.161,refuse,7,32,
1169.387,refuse,1,34,
1179.385,refuse,4,35,
1183.025,start,0,17,
1183.161,start-bypass,7,32,
1184.387,refuse,1,34,
1184.471,conflict-at-land,5,5,
1194.385,start,4,35,
1198.84,conflict-at-land,4,35,
1199.387,start,1,34,
1199.471,refuse,5,5,
1200.814,conflict-at-land,0,17,
1213.626,torn,7,33,task 32's last-writer-wins overwrite of HISTORY.rst silently discarded task 33's landed edit
1213.626,torn,7,6,task 32's last-writer-wins overwrite of README.rst silently discarded task 6's landed edit
1213.626,land,7,32,
1213.626,start,7,36,
1213.84,refuse,4,35,
1214.471,refuse,5,5,
1215.814,start,0,17,
1218.849,conflict-at-land,1,34,
1228.84,start,4,35,
1229.471,refuse,5,5,
1233.849,refuse,1,34,
1236.457,conflict-at-land,4,35,
1240.53,conflict-at-land,0,17,
1244.471,start,5,5,
1248.849,refuse,1,34,
1251.457,refuse,4,35,
1255.53,start,0,17,
1263.849,refuse,1,34,
1266.457,refuse,4,35,
1278.849,refuse,1,34,
1281.457,refuse,4,35,
1281.814,conflict-at-land,0,17,
1291.311,conflict-at-land,7,36,
1293.849,start-bypass,1,34,
1296.457,refuse,4,35,
1296.814,start,0,17,
1306.311,start,7,36,
1309.863,torn,1,32,task 34's last-writer-wins overwrite of HISTORY.rst silently discarded task 32's landed edit
1309.863,land,1,34,
1309.863,refuse,1,37,
1311.457,refuse,4,35,
1322.944,conflict-at-land,0,17,
1324.863,start,1,37,
1326.457,refuse,4,35,
1337.944,refuse,0,17,
1341.457,refuse,4,35,
1352.944,refuse,0,17,
1356.457,refuse,4,35,
1360.626,conflict-at-land,1,37,
1367.944,start,0,17,
1371.457,refuse,4,35,
1375.626,refuse,1,37,
1386.457,refuse,4,35,
1389.565,conflict-at-land,0,17,
1390.626,start,1,37,
1395.833,conflict-at-land,7,36,
1401.457,refuse,4,35,
1404.565,start-bypass,0,17,
1410.833,start,7,36,
1416.457,refuse,4,35,
1427.41,land,0,17,
1427.41,refuse,0,38,
1431.27,conflict-at-land,1,37,
1431.457,refuse,4,35,
1442.41,start,0,38,
1446.27,refuse,1,37,
1446.457,refuse,4,35,
1457.809,land,0,38,
1457.809,refuse,0,39,
1461.27,start,1,37,
1461.457,start-bypass,4,35,
1467.561,torn,4,34,task 35's last-writer-wins overwrite of HISTORY.rst silently discarded task 34's landed edit
1467.561,land,4,35,
1467.561,refuse,4,40,
1472.809,refuse,0,39,
1482.561,refuse,4,40,
1487.809,refuse,0,39,
1492.137,conflict-at-land,7,36,
1497.561,refuse,4,40,
1499.076,conflict-at-land,1,37,
1502.809,start,0,39,
1507.137,refuse,7,36,
1512.561,refuse,4,40,
1514.076,refuse,1,37,
1522.137,refuse,7,36,
1527.561,refuse,4,40,
1529.076,refuse,1,37,
1537.137,refuse,7,36,
1542.561,refuse,4,40,
1544.076,start-bypass,1,37,
1552.137,refuse,7,36,
1557.561,refuse,4,40,
1567.137,refuse,7,36,
1572.561,refuse,4,40,
1577.507,torn,1,17,task 37's last-writer-wins overwrite of setup.py silently discarded task 17's landed edit
1577.507,land,1,37,
1577.507,start,1,41,
1582.137,refuse,7,36,
1587.561,refuse,4,40,
1588.152,conflict-at-land,1,41,
1597.137,refuse,7,36,
1602.561,refuse,4,40,
1603.152,start,1,41,
1612.137,refuse,7,36,
1615.833,conflict-at-land,1,41,
1617.561,refuse,4,40,
1627.137,refuse,7,36,
1630.833,start,1,41,
1632.561,refuse,4,40,
1640.503,conflict-at-land,1,41,
1642.137,refuse,7,36,
1647.561,refuse,4,40,
1655.503,start,1,41,
1657.137,refuse,7,36,
1662.561,refuse,4,40,
1664.278,conflict-at-land,1,41,
1672.137,refuse,7,36,
1673.303,conflict-at-land,0,39,
1677.561,refuse,4,40,
1679.278,start,1,41,
1687.137,start-bypass,7,36,
1688.303,start,0,39,
1692.561,refuse,4,40,
1692.933,conflict-at-land,1,41,
1707.561,refuse,4,40,
1707.933,start,1,41,
1717.335,conflict-at-land,1,41,
1722.561,refuse,4,40,
1732.335,start,1,41,
