time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,refuse,1,1,
0.0,start,2,2,
0.0,refuse,3,3,
0.0,start,4,4,
0.0,refuse,5,5,
0.0,start,6,6,
0.0,refuse,7,7,
7.208,land,2,2,
7.208,refuse,2,8,
15.0,refuse,1,1,
15.0,refuse,3,3,
15.0,refuse,5,5,
15.0,refuse,7,7,
15.731,land,6,6,
15.731,refuse,6,9,
22.208,refuse,2,8,
26.643,land,0,0,
26.643,start,0,10,
30.0,start-bypass,1,1,
30.0,refuse,3,3,
30.0,refuse,5,5,
30.0,start,7,7,
30.731,refuse,6,9,
35.301,conflict-at-land,0,10,
37.208,refuse,2,8,
39.139,land,7,7,
39.139,start-bypass,7,11,
45.0,refuse,3,3,
45.0,refuse,5,5,
45.731,refuse,6,9,
50.301,start,0,10,
52.208,refuse,2,8,
60.0,refuse,3,3,
60.0,refuse,5,5,
60.011,conflict-at-land,0,10,
60.731,refuse,6,9,
67.208,refuse,2,8,
75.0,refuse,3,3,
75.0,refuse,5,5,
75.011,start,0,10,
75.731,refuse,6,9,
76.733,land,7,11,
76.733,refuse,7,12,
82.208,refuse,2,8,
90.0,refuse,3,3,
90.0,refuse,5,5,
90.336,conflict-at-land,0,10,
90.731,refuse,6,9,
91.733,refuse,7,12,
97.208,refuse,2,8,
105.0,refuse,3,3,
105.0,refuse,5,5,
105.336,start,0,10,
105.731,refuse,6,9,
106.733,refuse,7,12,
112.208,refuse,2,8,
120.0,refuse,3,3,
120.0,refuse,5,5,
120.214,conflict-at-land,0,10,
120.731,refuse,6,9,
121.733,refuse,7,12,
127.208,refuse,2,8,
127.423,conflict-at-land,4,4,
129.852,land,1,1,
129.852,start,1,13,
135.0,refuse,3,3,
135.0,start,5,5,
135.214,start,0,10,
135.731,refuse,6,9,
136.733,refuse,7,12,
137.32,conflict-at-land,1,13,
142.208,refuse,2,8,
142.423,refuse,4,4,
148.699,conflict-at-land,0,10,
150.0,refuse,3,3,
150.731,refuse,6,9,
151.733,refuse,7,12,
152.32,start,1,13,
157.208,refuse,2,8,
157.423,refuse,4,4,
158.764,conflict-at-land,1,13,
163.699,start,0,10,
165.0,refuse,3,3,
165.731,refuse,6,9,
166.733,refuse,7,12,
172.208,refuse,2,8,
172.423,refuse,4,4,
173.764,start,1,13,
178.634,conflict-at-land,0,10,
180.0,refuse,3,3,
180.731,refuse,6,9,
181.116,conflict-at-land,1,13,
181.733,refuse,7,12,
187.208,refuse,2,8,
187.423,refuse,4,4,
193.634,start,0,10,
195.0,refuse,3,3,
195.731,start-bypass,6,9,
196.116,start,1,13,
196.733,refuse,7,12,
202.208,refuse,2,8,
202.423,start-bypass,4,4,
202.738,conflict-at-land,1,13,
205.079,conflict-at-land,0,10,
210.0,start-bypass,3,3,
211.733,refuse,7,12,
217.208,refuse,2,8,
217.738,start,1,13,
220.079,start,0,10,
224.427,conflict-at-land,1,13,
226.733,refuse,7,12,
228.79,conflict-at-land,0,10,
232.208,refuse,2,8,
234.262,torn,6,11,task 9's last-writer-wins overwrite of HISTORY.rst silently discarded task 11's landed edit
234.262,land,6,9,
234.262,start-bypass,6,14,
239.427,start,1,13,
241.733,refuse,7,12,
243.79,start,0,10,
246.3,conflict-at-land,1,13,
247.208,refuse,2,8,
247.86,land,6,14,
247.86,refuse,6,15,
252.411,conflict-at-land,0,10,
256.733,refuse,7,12,
261.3,start,1,13,
262.208,refuse,2,8,
262.86,refuse,6,15,
267.411,start,0,10,
268.22,conflict-at-land,1,13,
271.733,refuse,7,12,
277.208,refuse,2,8,
277.435,conflict-at-land,0,10,
277.86,refuse,6,15,
283.22,start,1,13,
286.733,refuse,7,12,
290.569,conflict-at-land,1,13,
292.208,refuse,2,8,
292.435,start,0,10,
292.86,refuse,6,15,
301.733,refuse,7,12,
304.542,conflict-at-land,0,10,
305.569,start,1,13,
307.208,refuse,2,8,
307.86,start-bypass,6,15,
311.951,conflict-at-land,1,13,
316.733,refuse,7,12,
319.542,start,0,10,
320.277,torn,6,14,task 15's last-writer-wins overwrite of docs/index.rst silently discarded task 14's landed edit
320.277,land,6,15,
320.277,refuse,6,16,
322.208,refuse,2,8,
326.951,start,1,13,
328.183,conflict-at-land,0,10,
331.733,refuse,7,12,
332.981,conflict-at-land,1,13,
335.277,start,6,16,
337.208,refuse,2,8,
343.183,refuse,0,10,
346.733,refuse,7,12,
347.981,start,1,13,
352.208,refuse,2,8,
354.428,conflict-at-land,1,13,
358.183,refuse,0,10,
361.733,refuse,7,12,
362.508,land,6,16,
362.508,start,6,17,
366.245,torn,4,9,task 4's last-writer-wins overwrite of HISTORY.rst silently discarded task 9's landed edit
366.245,torn,4,15,task 4's last-writer-wins overwrite of docs/index.rst silently discarded task 15's landed edit
366.245,land,4,4,
366.245,start-bypass,4,18,
367.208,refuse,2,8,
369.428,start,1,13,
373.183,start,0,10,
376.234,conflict-at-land,1,13,
376.733,refuse,7,12,
377.065,land,4,18,
377.065,refuse,4,19,
382.208,refuse,2,8,
382.302,conflict-at-land,0,10,
383.838,conflict-at-land,6,17,
391.234,start,1,13,
391.733,refuse,7,12,
392.065,refuse,4,19,
397.105,conflict-at-land,1,13,
397.208,refuse,2,8,
397.302,start,0,10,
398.838,start,6,17,
406.733,refuse,7,12,
407.065,refuse,4,19,
412.105,start,1,13,
412.208,refuse,2,8,
412.636,conflict-at-land,0,10,
417.81,conflict-at-land,1,13,
419.003,conflict-at-land,6,17,
421.733,refuse,7,12,
422.065,refuse,4,19,
427.208,refuse,2,8,
427.636,start,0,10,
432.81,start,1,13,
434.003,start,6,17,
436.733,refuse,7,12,
437.065,start-bypass,4,19,
439.208,conflict-at-land,1,13,
439.775,conflict-at-land,0,10,
442.208,refuse,2,8,
451.733,refuse,7,12,
454.208,start,1,13,
454.775,start-bypass,0,10,
457.208,refuse,2,8,
460.829,conflict-at-land,1,13,
461.096,conflict-at-land,6,17,
466.425,land,0,10,
466.425,start,0,20,
466.733,refuse,7,12,
472.208,refuse,2,8,
475.829,start,1,13,
476.096,start,6,17,
481.372,conflict-at-land,1,13,
481.733,refuse,7,12,
487.208,refuse,2,8,
491.76,conflict-at-land,6,17,
496.372,start,1,13,
496.733,refuse,7,12,
501.982,conflict-at-land,1,13,
502.208,refuse,2,8,
506.022,land,0,20,
506.022,refuse,0,21,
506.76,start,6,17,
511.733,refuse,7,12,
516.982,start,1,13,
517.208,refuse,2,8,
521.022,refuse,0,21,
522.995,conflict-at-land,6,17,
523.49,conflict-at-land,1,13,
526.733,start-bypass,7,12,
532.208,refuse,2,8,
536.022,refuse,0,21,
537.995,start,6,17,
538.49,start,1,13,
545.565,conflict-at-land,1,13,
547.208,refuse,2,8,
551.022,refuse,0,21,
557.2,conflict-at-land,6,17,
560.565,start,1,13,
562.208,refuse,2,8,
566.022,refuse,0,21,
568.202,conflict-at-land,1,13,
572.2,start,6,17,
577.208,refuse,2,8,
581.022,refuse,0,21,
583.202,start,1,13,
588.942,conflict-at-land,1,13,
590.639,conflict-at-land,6,17,
592.208,refuse,2,8,
596.022,refuse,0,21,
603.942,start,1,13,
605.639,start,6,17,
607.208,refuse,2,8,
611.022,refuse,0,21,
611.086,conflict-at-land,1,13,
617.077,torn,4,10,task 19's last-writer-wins overwrite of requests/__init__.py silently discarded task 10's landed edit
617.077,torn,4,4,task 19's last-writer-wins overwrite of requests/utils.py silently discarded task 4's landed edit
617.077,land,4,19,
617.077,start,4,22,
622.208,refuse,2,8,
623.738,land,4,22,
623.738,refuse,4,23,
624.826,conflict-at-land,6,17,
626.022,refuse,0,21,
626.086,start,1,13,
630.749,conflict-at-land,1,13,
637.208,refuse,2,8,
638.738,refuse,4,23,
639.826,start,6,17,
641.022,refuse,0,21,
645.749,start,1,13,
650.352,conflict-at-land,1,13,
652.208,refuse,2,8,
653.738,refuse,4,23,
656.022,refuse,0,21,
663.107,conflict-at-land,6,17,
665.352,start,1,13,
667.208,refuse,2,8,
668.738,refuse,4,23,
671.022,refuse,0,21,
671.411,conflict-at-land,1,13,
678.107,start,6,17,
682.208,refuse,2,8,
683.738,refuse,4,23,
686.022,refuse,0,21,
686.411,start,1,13,
691.133,conflict-at-land,1,13,
697.208,refuse,2,8,
698.738,start-bypass,4,23,
701.022,refuse,0,21,
701.668,conflict-at-land,6,17,
706.133,start,1,13,
712.169,conflict-at-land,1,13,
712.208,refuse,2,8,
716.022,refuse,0,21,
716.668,start,6,17,
727.169,start,1,13,
727.208,refuse,2,8,
731.022,refuse,0,21,
733.07,conflict-at-land,1,13,
742.208,refuse,2,8,
743.17,conflict-at-land,6,17,
746.022,refuse,0,21,
748.07,start,1,13,
755.338,conflict-at-land,1,13,
757.208,refuse,2,8,
758.17,start,6,17,
761.022,refuse,0,21,
770.338,start,1,13,
772.208,start-bypass,2,8,
776.022,refuse,0,21,
776.823,conflict-at-land,1,13,
777.945,conflict-at-land,6,17,
791.022,refuse,0,21,
791.823,start,1,13,
792.945,start-bypass,6,17,
798.961,conflict-at-land,1,13,
806.022,refuse,0,21,
813.961,start,1,13,
819.529,torn,6,19,task 17's last-writer-wins overwrite of setup.py silently discarded task 19's landed edit
819.529,land,6,17,
819.529,start,6,24,
821.022,refuse,0,21,
821.42,conflict-at-land,1,13,
826.372,land,6,24,
826.372,start,6,25,
831.29,land,6,25,
831.29,start,6,26,
836.022,refuse,0,21,
836.42,start,1,13,
837.6,conflict-at-land,6,26,
841.116,conflict-at-land,1,13,
851.022,refuse,0,21,
852.6,start,6,26,
856.116,start,1,13,
857.714,conflict-at-land,6,26,
861.998,conflict-at-land,1,13,
866.022,refuse,0,21,
872.714,start,6,26,
876.998,start-bypass,1,13,
877.176,conflict-at-land,6,26,
881.022,refuse,0,21,
882.945,land,1,13,
882.945,refuse,1,27,
892.176,start,6,26,
896.022,refuse,0,21,
897.945,refuse,1,27,
898.122,conflict-at-land,6,26,
911.022,refuse,0,21,
912.945,refuse,1,27,
913.122,start-bypass,6,26,
916.221,land,5,5,
916.221,start,5,28,
917.609,land,6,26,
917.609,refuse,6,29,
925.871,conflict-at-land,5,28,
926.022,start,0,21,
927.945,start,1,27,
932.609,refuse,6,29,
936.585,torn,4,26,task 23's last-writer-wins overwrite of requests/sessions.py silently discarded task 26's landed edit
936.585,land,4,23,
936.585,refuse,4,30,
940.871,start,5,28,
945.532,land,1,27,
945.532,start,1,31,
947.609,start-bypass,6,29,
951.585,refuse,4,30,
952.019,land,5,28,
952.019,start,5,32,
953.424,land,1,31,
953.424,refuse,1,33,
966.585,refuse,4,30,
968.424,refuse,1,33,
981.585,refuse,4,30,
983.424,refuse,1,33,
988.84,conflict-at-land,5,32,
996.585,refuse,4,30,
998.424,start,1,33,
999.553,conflict-at-land,0,21,
1003.84,refuse,5,32,
1011.585,start,4,30,
1014.553,refuse,0,21,
1018.84,refuse,5,32,
1027.47,conflict-at-land,4,30,
1029.553,start,0,21,
1033.84,refuse,5,32,
1042.47,refuse,4,30,
1047.128,conflict-at-land,1,33,
1048.84,start,5,32,
1057.47,refuse,4,30,
1062.128,refuse,1,33,
1072.47,refuse,4,30,
1077.128,refuse,1,33,
1082.489,conflict-at-land,5,32,
1087.47,refuse,4,30,
1092.128,start,1,33,
1097.489,refuse,5,32,
1102.47,refuse,4,30,
1102.543,conflict-at-land,0,21,
1112.489,refuse,5,32,
1117.47,start,4,30,
1117.543,refuse,0,21,
1127.489,refuse,5,32,
1130.135,conflict-at-land,1,33,
1132.543,refuse,0,21,
1138.911,conflict-at-land,4,30,
1142.489,start,5,32,
1145.135,refuse,1,33,
1147.543,start,0,21,
1153.911,refuse,4,30,
1160.135,refuse,1,33,
1168.911,refuse,4,30,
1175.135,refuse,1,33,
1177.568,conflict-at-land,5,32,
1183.911,refuse,4,30,
1190.135,start,1,33,
1192.568,refuse,5,32,
1198.911,refuse,4,30,
1207.568,refuse,5,32,
1213.911,refuse,4,30,
1215.808,conflict-at-land,0,21,
1219.764,conflict-at-land,1,33,
1222.568,start,5,32,
1228.911,start,4,30,
1230.808,refuse,0,21,
1234.764,refuse,1,33,
1245.808,refuse,0,21,
1246.473,torn,7,23,task 12's last-writer-wins overwrite of HISTORY.rst silently discarded task 23's landed edit
1246.473,torn,7,17,task 12's last-writer-wins overwrite of MANIFEST.in silently discarded task 17's landed edit
1246.473,land,7,12,
1246.473,refuse,7,34,
1249.764,refuse,1,33,
1250.243,conflict-at-land,4,30,
1260.808,start,0,21,
1261.473,refuse,7,34,
1264.764,refuse,1,33,
1264.942,conflict-at-land,5,32,
1265.243,refuse,4,30,
1276.473,start,7,34,
1279.764,refuse,1,33,
1279.942,refuse,5,32,
1280.243,refuse,4,30,
1294.764,refuse,1,33,
1294.942,refuse,5,32,
1295.243,refuse,4,30,
1298.462,conflict-at-land,7,34,
1309.764,start,1,33,
1309.942,refuse,5,32,
1310.243,refuse,4,30,
1313.462,refuse,7,34,
1324.942,refuse,5,32,
1325.243,refuse,4,30,
1328.462,refuse,7,34,
1338.93,conflict-at-land,0,21,
1339.942,refuse,5,32,
1340.243,start,4,30,
1343.462,refuse,7,34,
1346.311,conflict-at-land,1,33,
1353.146,conflict-at-land,4,30,
1353.93,start,0,21,
1354.942,start,5,32,
1358.462,refuse,7,34,
1361.311,refuse,1,33,
1368.146,refuse,4,30,
1373.462,refuse,7,34,
1376.311,refuse,1,33,
1383.146,refuse,4,30,
