time,event,agent_id,task_id,note
0.0,start-bypass,0,0,
0.0,start,1,1,
0.0,refuse,2,2,
0.0,refuse,3,3,
0.0,start,4,4,
0.0,start-bypass,5,5,
0.0,start,6,6,
0.0,start,7,7,
15.0,refuse,2,2,
15.0,refuse,3,3,
16.83,land,7,7,
16.83,start,7,8,
24.433,land,7,8,
24.433,start,7,9,
27.963,land,5,5,
27.963,start-bypass,5,10,
30.0,refuse,2,2,
30.0,refuse,3,3,
45.0,refuse,2,2,
45.0,refuse,3,3,
60.0,start-bypass,2,2,
60.0,refuse,3,3,
75.0,refuse,3,3,
90.0,refuse,3,3,
105.0,refuse,3,3,
120.0,refuse,3,3,
135.0,refuse,3,3,
150.0,refuse,3,3,
159.962,land,2,2,
159.962,start-bypass,2,11,
165.0,refuse,3,3,
167.177,land,2,11,
167.177,refuse,2,12,
180.0,start-bypass,3,3,
182.177,refuse,2,12,
187.773,land,3,3,
187.773,start-bypass,3,13,
193.171,land,3,13,
193.171,refuse,3,14,
197.177,refuse,2,12,
208.171,refuse,3,14,
212.177,refuse,2,12,
223.171,refuse,3,14,
227.177,refuse,2,12,
238.171,refuse,3,14,
242.177,refuse,2,12,
253.171,refuse,3,14,
257.177,refuse,2,12,
268.171,refuse,3,14,
272.177,refuse,2,12,
283.171,start-bypass,3,14,
287.177,refuse,2,12,
288.245,torn,3,13,task 14's last-writer-wins overwrite of docs/index.rst silently discarded task 13's landed edit
288.245,land,3,14,
288.245,refuse,3,15,
302.177,start-bypass,2,12,
303.245,refuse,3,15,
311.441,torn,2,14,task 12's last-writer-wins overwrite of docs/index.rst silently discarded task 14's landed edit
311.441,land,2,12,
311.441,refuse,2,16,
318.245,refuse,3,15,
326.441,refuse,2,16,
328.204,conflict-at-land,6,6,
333.245,refuse,3,15,
341.441,refuse,2,16,
343.204,start,6,6,
348.245,refuse,3,15,
356.441,start-bypass,2,16,
363.245,refuse,3,15,
365.154,torn,2,12,task 16's last-writer-wins overwrite of docs/index.rst silently discarded task 12's landed edit
365.154,land,2,16,
365.154,refuse,2,17,
378.245,refuse,3,15,
380.154,refuse,2,17,
387.167,conflict-at-land,4,4,
393.245,start-bypass,3,15,
395.154,refuse,2,17,
399.253,torn,3,16,task 15's last-writer-wins overwrite of docs/index.rst silently discarded task 16's landed edit
399.253,land,3,15,
399.253,start,3,18,
402.167,start,4,4,
405.395,land,3,18,
405.395,start,3,19,
410.154,refuse,2,17,
425.154,refuse,2,17,
440.154,refuse,2,17,
454.983,conflict-at-land,3,19,
455.154,refuse,2,17,
469.983,start,3,19,
470.154,refuse,2,17,
485.154,refuse,2,17,
497.417,conflict-at-land,3,19,
500.154,refuse,2,17,
512.417,start,3,19,
515.154,refuse,2,17,
530.154,refuse,2,17,
545.154,refuse,2,17,
558.651,conflict-at-land,3,19,
560.154,start-bypass,2,17,
567.486,land,2,17,
567.486,start,2,20,
570.685,conflict-at-land,1,1,
573.651,start,3,19,
585.685,start,1,1,
597.002,land,2,20,
597.002,refuse,2,21,
612.002,refuse,2,21,
612.298,conflict-at-land,3,19,
627.002,refuse,2,21,
627.298,start,3,19,
642.002,refuse,2,21,
655.252,conflict-at-land,3,19,
657.002,start-bypass,2,21,
663.3,conflict-at-land,6,6,
670.252,start,3,19,
678.3,start,6,6,
679.138,conflict-at-land,4,4,
694.138,start,4,4,
694.827,land,2,21,
694.827,start,2,22,
716.236,conflict-at-land,3,19,
731.236,start-bypass,3,19,
751.072,land,2,22,
751.072,start,2,23,
758.877,land,3,19,
758.877,start-bypass,3,24,
768.917,conflict-at-land,2,23,
783.917,start,2,23,
799.493,conflict-at-land,2,23,
808.46,torn,0,3,task 0's last-writer-wins overwrite of docs/_templates/hacks.html silently discarded task 3's landed edit
808.46,torn,0,2,task 0's last-writer-wins overwrite of docs/_templates/sidebarintro.html silently discarded task 2's landed edit
